Unnamed: 0,event_name,event_date,event_tag,event_lon,event_lat,event_depth,event_mw,model_author,extension,SDA_MDA,lon_asp1,lat_asp1,lon_asp2,lat_asp2,lon_asp3,lat_asp3,lon_asp4,lat_asp4,SGM,TELE,TRIL,LEVEL,GPS,INSAR,SURF,OTHER,SPOT,HR-GPS,SAR,BBR,SAT,LR-GPS,OTHERS,GNSS,NGAsubEQID,Nsubfaults,Dcoast_Smax,H_Smax,minDstations_Smax,EQID
0,San Francisco (Calif.),04/18/1906,s1906SANFRA01SONG,-122.51,37.78,10.0,7.91,Song et al. (2008) ,mat,MDA,-123.21535,38.57615,-123.982725,39.442325,-122.447975,37.709975,-999.0,-999.0,0,5,203,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,48.0,-999.0,-999.0,-999.0,-999
1,San Francisco (Calif.),04/18/1906,s1906SANFRA01THAT,-122.51,37.78,10.0,7.91,Thatcher et al. (1997) ,mat,MDA,-123.982725,39.442325,-123.21535,38.57615,-122.447975,37.709975,-999.0,-999.0,0,0,181,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,48.0,-999.0,-999.0,-999.0,-999
2,San Francisco (Calif.),04/18/1906,s1906SANFRA01WALD,-122.51,37.78,10.0,7.64,Wald et al. (1993) ,mat,SDA,-123.076930795848,38.5734503778338,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0,12,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,48.0,-999.0,-999.0,-999.0,-999
3,Kanto (Japan),09/01/1923,s1923KANTOJ01KOBA,139.2,35.4,14.6,8.08,Kobayashi and Koketsu (2005) ,mat,MDA,139.731780254777,34.9391555555556,139.153293630573,35.2853777777778,140.219878343949,34.9482666666667,-999.0,-999.0,3,5,999,999,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,70.0,-999.0,-999.0,-999.0,-999
4,Kanto (Japan),09/01/1923,s1923KANTOJ01WALD,139.2,35.4,14.6,7.95,Wald and Somerville (1995) ,mat,MDA,139.737674522293,35.0688444444444,139.113993630573,35.3421777777778,139.719596815287,35.3330666666667,139.312848407643,35.4515111111111,0,6,31,225,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,70.0,-999.0,-999.0,-999.0,-999
5,Tonankai (Japan),12/07/1944,s1944TONANK01ICHI,135.96,33.77,30.0,8.04,Ichinose et al. (2003) ,mat,MDA,137.141769343066,34.5603281553398,136.798687591241,34.3613029126214,137.141769343066,33.9542058252427,136.193780291971,33.1852446601942,13,10,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,77.0,-999.0,-999.0,-999.0,-999
6,Tonankai (Japan),12/07/1944,s1944TONANK01KATO,136.62,33.8,30.0,8.2,Kato and Ando (1997) ,mat,MDA,138.377073643411,33.4150041884817,137.266831782946,32.8890261780105,136.066326356589,33.5328958115183,-999.0,-999.0,0,0,0,0,0,0,0,12,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,12.0,-999.0,-999.0,-999.0,-999
7,Tonankai (Japan),12/07/1944,s1944TONANK01KIKU,136.05,33.7,30.0,7.99,Kikuchi et al. (2003) ,mat,MDA,137.185558,34.0306728,136.423342,33.6411272,-999.0,-999.0,-999.0,-999.0,6,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,28.0,-999.0,-999.0,-999.0,-999
8,Tonankai (Japan),12/07/1944,s1944TONANK01SATA,136.62,33.8,30.0,8.1,Satake (1993) ,mat,MDA,137.39111328125,32.9761936507937,135.92564609375,33.4566428571429,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,0,0,999,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,9.0,-999.0,-999.0,-999.0,-999
9,Tonankai (Japan),12/07/1944,s1944TONANK01TANI,136.62,33.8,30.0,8.1,Tanioka and Satake (2001)a ,mat,MDA,137.525769252078,33.3099832,138.121085595568,34.0592408,-999.0,-999.0,-999.0,-999.0,0,0,0,0,0,0,0,10,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,28.0,-999.0,-999.0,-999.0,-999
10,Mikawa (Japan),01/12/1945,s1945MIKAWA01KIKU,137.1,34.7,10.0,6.67,Kikuchi et al. (2003) ,mat,MDA,137.035933333333,34.8386,137.146833333333,34.7426,-999.0,-999.0,-999.0,-999.0,5,0,0,0,0,0,0,0,-999,-999,-999,-999,-999,-999,-999,-999,-999.0,15.0,-999.0,-999.0,-999.0,-999
